stop_id,stop_code,stop_name,stop_lat,stop_lon
stop_26_83577_75_79394,RMR,"TARO KI KOOT",26.835766,75.793935
stop_26_82901_75_79429,RMN,"RAM MANDIR",26.829007,75.794291
stop_26_82540_75_79471,KNAGA,"KALYAN NAGAR",26.8253998,75.794713
stop_26_81870_75_79736,SGT,"SANGANER THANA",26.818701,75.797358
stop_26_81620_75_79931,BOOKI,"BOOKING",26.816196,75.799308
stop_26_80862_75_80487,GHA,"GOSHALA",26.808625,75.804867
stop_26_80731_75_80583,SECT3,"SECTOR 3",26.807312,75.805826
stop_26_80374_75_80848,SEC5,"SECTOR 5",26.803739,75.80848
stop_26_79846_75_81255,SEC8,"SECTOR 8",26.798457,75.812548
stop_26_80076_75_82003,SECTO,"SECTOR 10",26.800762,75.820032
stop_26_80246_75_82619,BRM,"BHARO MANDIR",26.802462,75.826186
stop_26_80441_75_83030,S16,"SECTOR 16",26.804413,75.830296
stop_26_80690_75_83651,NRI,"NRI",26.806899,75.836514
stop_26_80040_75_84032,DWP,"DWARKA PURI",26.8004,75.84032
stop_26_91451_75_81681,AJG,"AJMERI GATE",26.91451,75.81681
stop_26_89912_75_81220,NSCIR,"NARAYAN SINGH CIRCLE",26.899118,75.812195
stop_26_89646_75_80993,RBC,"RAMBAGH CIRCLE",26.896461,75.809931
stop_26_89158_75_80605,TKP,"LAL KOTHI",26.891583,75.806054
stop_26_88707_75_80277,GNMOD,"GANDHI NAGAR MOD",26.887072,75.802769
stop_26_87932_75_79897,GLA,"TONK PHATAK",26.87932,75.79897
stop_26_86628_75_79669,JHC,"GOPALPURA",26.86628,75.79669
stop_26_85818_75_79550,MNAGA,"MAHAVEER NAGAR",26.85818,75.795496
stop_26_85130_75_79451,DGP,"DURGAPURA",26.851305,75.794511
stop_26_83819_75_79395,CPLEX,"CITY PLEX",26.838195,75.793955
stop_26_82919_75_79430,RMN,"RAM MANDIR",26.829186,75.794295
stop_26_82552_75_79468,KNAGA,"KALYAN NAGAR",26.825523,75.794681
stop_26_81868_75_79626,SGT,"SANGANER THANA",26.818679,75.79626
stop_26_81875_75_78341,STADI,"STADIUM",26.818748,75.783407
stop_26_81575_75_78425,SGR,"SANGANER",26.81575,75.78425
stop_26_81567_75_78413,SGR,"SANGANER",26.815668,75.784128
stop_26_81951_75_79629,SGT,"SANGANER THANA",26.819515,75.796289
stop_26_82554_75_79446,KNAGA,"KALYAN NAGAR",26.825542,75.794458
stop_26_82917_75_79408,RMN,"RAM MANDIR",26.829166,75.794085
stop_26_83810_75_79369,RMR,"TARO KI KOOT",26.838104,75.793693
stop_26_85107_75_79411,DGP,"DURGAPURA",26.851072,75.794113
stop_26_85729_75_79513,MNAGA,"MAHAVEER NAGAR",26.857293,75.795128
stop_26_86574_75_79633,JHC,"GOPALPURA",26.865743,75.796327
stop_26_87980_75_79895,GLA,"TONK PHATAK",26.879803,75.798949
stop_26_88360_75_80074,SBM,"SABJI MANDI",26.883596,75.800741
stop_26_88777_75_80289,GNMOD,"GANDHI NAGAR MOD",26.887768,75.802888
stop_26_89114_75_80534,TKP,"LAL KOTHI",26.891138,75.805337
stop_26_89662_75_80997,RBC,"RAMBAGH CIRCLE",26.896616,75.809966
stop_26_89924_75_81196,NSCIR,"NARAYAN SINGH CIRCLE",26.899235,75.811962
stop_26_91492_75_81668,AJG,"AJMERI GATE",26.914923,75.816676
stop_26_92466_75_81801,COPAR,"CHOTI CHOPAR",26.924663,75.818014
stop_26_83019_75_80560,AIR,"AIRPORT",26.830189,75.805596
stop_26_84163_75_80835,MAGAR,"MALVIYA NAGAR",26.841631,75.808349
stop_26_84667_75_80950,MAL10,"SEC-10 MALVIYA NGR",26.846669,75.809503
stop_26_84555_75_81292,MAL11,"SEC-11 MALVIYA NGR",26.845552,75.812917
stop_26_84262_75_81530,SEC15,"SECTOR 15",26.84262,75.815303
stop_26_84686_75_81712,MAL3,"SEC-3 MALVIYA NGR",26.846861,75.817117
stop_26_85155_75_81851,SECT2,"SECTOR 2",26.851552,75.81851
stop_26_85584_75_82014,KEMOD,"KELGIRI MOD",26.85584,75.820139
stop_26_85746_75_81408,HMARG,"HARI MARG",26.857462,75.814076
stop_26_85901_75_80957,PMARG,"PRADHAN MARG",26.859014,75.809572
stop_26_86273_75_80679,SAIRY,"SARAS DAIRY",26.862732,75.806787
stop_26_86560_75_80744,MNIT,"MNIT",26.865604,75.807439
stop_26_87396_75_79936,GN,"GANDHI NAGAR",26.873963,75.799359
stop_26_89105_75_80531,TKP,"LAL KOTHI",26.89105,75.805313
stop_26_90691_75_81507,RBH,"SMS HOSPITAL",26.90691,75.81507
stop_26_91154_75_81580,MLAGE,"MAHARANI COLLAGE",26.911539,75.815803
stop_26_91632_75_80989,PHI,"PANCH BATI",26.916321,75.809892
stop_26_91676_75_80072,GPO,"GPO",26.91676,75.80072
stop_26_92201_75_79368,KHAK,"KHAKSHA KHOTI",26.922014,75.793676
stop_26_92679_75_79190,COLLE,"COLLECTORATE",26.926786,75.791901
stop_26_94278_75_76263,LCE,"LATA CIRCLE",26.94278,75.76263
stop_26_94304_75_75111,PMITI,"PANCHAYAT SAMITI",26.94304,75.75111
stop_26_94331_75_74879,MEDIC,"MEDICIAL CENTRE",26.943307,75.74879
stop_26_94372_75_74658,BORIN,"BORING ROAD",26.943722,75.746575
stop_26_94430_75_74379,KC,"KANTA CIRCLE",26.944297,75.743791
stop_26_94072_75_74320,RAM,"RAM NAGAR",26.940721,75.743195
stop_26_93426_75_74331,LALMA,"LAL MANDIR",26.934256,75.743306
stop_26_93278_75_73033,KPIYA,"KHIRNI PHATAK PULIYA",26.932782,75.730329
stop_26_94077_75_74318,RAM,"RAM NAGAR",26.940771,75.743182
stop_26_94434_75_74481,KC,"KANTA CIRCLE",26.944343,75.74481
stop_26_94375_75_74708,BORIN,"BORING ROAD",26.943749,75.747084
stop_26_94340_75_74879,MEDIC,"MEDICIAL CENTRE",26.943404,75.748791
stop_26_94316_75_75111,PMITI,"PANCHAYAT SAMITI",26.943161,75.751114
stop_26_94292_75_76240,LCE,"LATA CIRCLE",26.942925,75.762402
stop_26_94049_75_77211,CUA,"CHOMU PULIYA",26.940494,75.772115
stop_26_93854_75_78595,PPACH,"PANI PACH",26.938543,75.785954
stop_26_93223_75_78491,CKA,"CHINKARA",26.932228,75.784909
stop_26_92599_75_79364,COLLE,"COLLECTORATE",26.925994,75.793636
stop_26_92212_75_79381,KHAK,"KHAKSHA KHOTI",26.922117,75.793813
stop_26_91778_75_80184,GPO,"GPO",26.917785,75.801839
stop_26_91172_75_81600,MLAGE,"MAHARANI COLLAGE",26.911716,75.816004
stop_26_90690_75_81522,RBH,"SMS HOSPITAL",26.906901,75.815218
stop_26_89885_75_81192,NSCIR,"NARAYAN SINGH CIRCLE",26.898853,75.811924
stop_26_89640_75_81006,RBC,"RAMBAGH CIRCLE",26.896401,75.810065
stop_26_89156_75_80592,TKP,"LAL KOTHI",26.89156,75.80592
stop_26_88356_75_80095,SBM,"SABJI MANDI",26.883559,75.80095
stop_26_87464_75_79941,GN,"GANDHI NAGAR",26.874643,75.799413
stop_26_86621_75_80786,MNIT,"MNIT",26.866214,75.807858
stop_26_86281_75_80696,SAIRY,"SARAS DAIRY",26.862808,75.806955
stop_26_85935_75_80912,PMARG,"PRADHAN MARG",26.859345,75.809123
stop_26_85769_75_81378,HMARG,"HARI MARG",26.857692,75.813781
stop_26_85586_75_82043,KEMOD,"KELGIRI MOD",26.855864,75.820429
stop_26_85152_75_81847,SECT2,"SECTOR 2",26.851522,75.818467
stop_26_84215_75_81422,SEC15,"SECTOR 15",26.842148,75.814215
stop_26_84554_75_81289,MAL11,"SEC-11 MALVIYA NGR",26.845543,75.812892
stop_26_84662_75_80963,MAL10,"SEC-10 MALVIYA NGR",26.846616,75.809628
stop_26_84164_75_80838,MAGAR,"MALVIYA NAGAR",26.841645,75.808377
stop_26_93112_75_73104,KPIYA,"KHIRNI PHATAK PULIYA",26.931118,75.731043
stop_26_92023_75_73055,PLIYA,"PANCHAYALA PULIYA",26.920234,75.730555
