route_id,service_id,trip_id,trip_headsign,direction_id
3,weekday,trip_115,"TRANSPORT NGR",0
3,weekday,trip_116,"TRANSPORT NGR",0
3,weekday,trip_117,"TRANSPORT NGR",0
3,weekday,trip_118,"TRANSPORT NGR",0
3,weekday,trip_119,"TRANSPORT NGR",0
3,weekday,trip_120,"TRANSPORT NGR",0
3,weekday,trip_121,"TRANSPORT NGR",0
3,weekday,trip_122,"TRANSPORT NGR",0
3,weekday,trip_123,"TRANSPORT NGR",0
3,weekday,trip_124,"TRANSPORT NGR",0
3,weekday,trip_125,"TRANSPORT NGR",0
3,weekday,trip_126,"TRANSPORT NGR",0
3,weekday,trip_127,"TRANSPORT NGR",0
3,weekday,trip_128,"TRANSPORT NGR",0
3,weekday,trip_129,"TRANSPORT NGR",0
3,weekday,trip_130,"TRANSPORT NGR",0
3,weekday,trip_131,"TRANSPORT NGR",0
3,weekday,trip_132,"TRANSPORT NGR",0
3,weekday,trip_133,"TRANSPORT NGR",0
3,weekday,trip_134,"TRANSPORT NGR",0
3,weekday,trip_135,"TRANSPORT NGR",0
3,weekday,trip_136,"TRANSPORT NGR",0
3,weekday,trip_137,"TRANSPORT NGR",0
3,weekday,trip_138,"TRANSPORT NGR",0
3,weekday,trip_139,"TRANSPORT NGR",0
3,weekday,trip_140,"TRANSPORT NGR",0
3,weekday,trip_141,"TRANSPORT NGR",0
3,weekday,trip_142,"TRANSPORT NGR",0
3,weekday,trip_143,"TRANSPORT NGR",0
3,weekday,trip_144,"TRANSPORT NGR",0
3,weekday,trip_145,"TRANSPORT NGR",0
3,weekday,trip_146,"TRANSPORT NGR",0
3,weekday,trip_147,"TRANSPORT NGR",0
3,weekday,trip_148,"TRANSPORT NGR",0
3,weekday,trip_149,"TRANSPORT NGR",0
3,weekday,trip_150,"TRANSPORT NGR",0
3,weekday,trip_151,"TRANSPORT NGR",0
3,weekday,trip_152,"TRANSPORT NGR",0
3,weekday,trip_153,"TRANSPORT NGR",0
3,weekday,trip_154,"TRANSPORT NGR",0
3,weekday,trip_155,"TRANSPORT NGR",0
3,weekday,trip_156,"TRANSPORT NGR",0
3,weekday,trip_157,"TRANSPORT NGR",0
3,weekday,trip_158,"TRANSPORT NGR",0
3,weekday,trip_159,"TRANSPORT NGR",0
3,weekday,trip_160,"TRANSPORT NGR",0
3,weekday,trip_161,"TRANSPORT NGR",0
3,weekday,trip_162,"TRANSPORT NGR",0
3,weekday,trip_163,"TRANSPORT NGR",0
3,weekday,trip_164,"TRANSPORT NGR",0
3,weekday,trip_165,"TRANSPORT NGR",0
3,weekday,trip_166,"TRANSPORT NGR",0
3,weekday,trip_167,"TRANSPORT NGR",0
3,weekday,trip_168,"TRANSPORT NGR",0
3,weekday,trip_169,"TRANSPORT NGR",0
3,weekday,trip_170,"TRANSPORT NGR",0
3,weekday,trip_171,"TRANSPORT NGR",0
3,weekday,trip_172,"TRANSPORT NGR",0
3,weekday,trip_173,"TRANSPORT NGR",0
3,weekday,trip_174,"TRANSPORT NGR",0
3,weekday,trip_175,"TRANSPORT NGR",0
3,weekday,trip_176,"TRANSPORT NGR",0
3,weekday,trip_177,"TRANSPORT NGR",0
3,weekday,trip_178,"TRANSPORT NGR",0
3,weekday,trip_179,"TRANSPORT NGR",0
3,weekday,trip_180,"TRANSPORT NGR",0
3,weekday,trip_181,"TRANSPORT NGR",0
3,weekday,trip_182,"TRANSPORT NGR",0
3,weekday,trip_183,"TRANSPORT NGR",0
3,weekday,trip_184,"TRANSPORT NGR",0
3,weekday,trip_185,"TRANSPORT NGR",0
3,weekday,trip_186,"TRANSPORT NGR",0
3,weekday,trip_187,"TRANSPORT NGR",0
3,weekday,trip_188,"TRANSPORT NGR",0
3,weekday,trip_189,"TRANSPORT NGR",0
3,weekday,trip_190,"TRANSPORT NGR",0
3,weekday,trip_191,"TRANSPORT NGR",0
3,weekday,trip_192,"TRANSPORT NGR",0
3,weekday,trip_193,"TRANSPORT NGR",0
3,weekday,trip_194,"TRANSPORT NGR",0
3,weekday,trip_195,"TRANSPORT NGR",0
3,weekday,trip_196,"TRANSPORT NGR",0
3,weekday,trip_197,"TRANSPORT NGR",0
3,weekday,trip_198,"TRANSPORT NGR",0
3,weekday,trip_199,"TRANSPORT NGR",0
3,weekday,trip_200,"TRANSPORT NGR",0
3,weekday,trip_201,"TRANSPORT NGR",0
3,weekday,trip_202,"TRANSPORT NGR",0
3,weekday,trip_203,"TRANSPORT NGR",0
3,weekday,trip_204,"TRANSPORT NGR",0
3,weekday,trip_205,"TRANSPORT NGR",0
3,weekday,trip_206,"TRANSPORT NGR",0
3,weekday,trip_207,"TRANSPORT NGR",0
3,weekday,trip_208,"TRANSPORT NGR",0
3,weekday,trip_209,"TRANSPORT NGR",0
3,weekday,trip_210,"TRANSPORT NGR",0
3,weekday,trip_211,"TRANSPORT NGR",0
3,weekday,trip_212,"TRANSPORT NGR",0
3,weekday,trip_213,"TRANSPORT NGR",0
3,weekday,trip_214,"TRANSPORT NGR",0
3,weekday,trip_215,"TRANSPORT NGR",0
3,weekday,trip_216,"TRANSPORT NGR",0
3,weekday,trip_217,"TRANSPORT NGR",0
3,weekday,trip_218,"TRANSPORT NGR",0
3,weekday,trip_219,"TRANSPORT NGR",0
3,weekday,trip_220,"TRANSPORT NGR",0
3,weekday,trip_221,"TRANSPORT NGR",0
3,weekday,trip_222,"TRANSPORT NGR",0
3,weekday,trip_223,"TRANSPORT NGR",0
3,weekday,trip_224,"TRANSPORT NGR",0
3,weekday,trip_225,"TRANSPORT NGR",0
3,weekday,trip_226,"TRANSPORT NGR",0
3,weekday,trip_227,"TRANSPORT NGR",0
3,weekday,trip_228,"TRANSPORT NGR",0
3,weekday,trip_229,"DWARKA PURI",1
3,weekday,trip_230,"DWARKA PURI",1
3,weekday,trip_231,"DWARKA PURI",1
3,weekday,trip_232,"DWARKA PURI",1
3,weekday,trip_233,"DWARKA PURI",1
3,weekday,trip_234,"DWARKA PURI",1
3,weekday,trip_235,"DWARKA PURI",1
3,weekday,trip_236,"DWARKA PURI",1
3,weekday,trip_237,"DWARKA PURI",1
3,weekday,trip_238,"DWARKA PURI",1
3,weekday,trip_239,"DWARKA PURI",1
3,weekday,trip_240,"DWARKA PURI",1
3,weekday,trip_241,"DWARKA PURI",1
